stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20190408T121500,2019-04-08T12:15:00+00:00,Monday,121500,False,
CAMHDA301-20190408T151500,2019-04-08T15:15:00+00:00,Monday,151500,False,
CAMHDA301-20190408T181500,2019-04-08T18:15:00+00:00,Monday,181500,False,
CAMHDA301-20190408T211500,2019-04-08T21:15:00+00:00,Monday,211500,False,
CAMHDA301-20190415T001500,2019-04-15T00:15:00+00:00,Monday,001500,False,
CAMHDA301-20190415T031500,2019-04-15T03:15:00+00:00,Monday,031500,False,
CAMHDA301-20190415T061500,2019-04-15T06:15:00+00:00,Monday,061500,False,
CAMHDA301-20190415T091500,2019-04-15T09:15:00+00:00,Monday,091500,False,
CAMHDA301-20190415T121500,2019-04-15T12:15:00+00:00,Monday,121500,False,
CAMHDA301-20190415T151500,2019-04-15T15:15:00+00:00,Monday,151500,False,
CAMHDA301-20190415T181500,2019-04-15T18:15:00+00:00,Monday,181500,False,
CAMHDA301-20190415T211500,2019-04-15T21:15:00+00:00,Monday,211500,False,
CAMHDA301-20190422T001500,2019-04-22T00:15:00+00:00,Monday,001500,False,
CAMHDA301-20190422T031500,2019-04-22T03:15:00+00:00,Monday,031500,False,
CAMHDA301-20190422T061500,2019-04-22T06:15:00+00:00,Monday,061500,False,
CAMHDA301-20190422T091500,2019-04-22T09:15:00+00:00,Monday,091500,False,
CAMHDA301-20190422T121500,2019-04-22T12:15:00+00:00,Monday,121500,False,
CAMHDA301-20190422T151500,2019-04-22T15:15:00+00:00,Monday,151500,False,
CAMHDA301-20190422T181500,2019-04-22T18:15:00+00:00,Monday,181500,False,
CAMHDA301-20190422T211500,2019-04-22T21:15:00+00:00,Monday,211500,False,
CAMHDA301-20190429T001500,2019-04-29T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T001500.png
CAMHDA301-20190429T031500,2019-04-29T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T031500.png
CAMHDA301-20190429T061500,2019-04-29T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T061500.png
CAMHDA301-20190429T091500,2019-04-29T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T091500.png
CAMHDA301-20190429T121500,2019-04-29T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T121500.png
CAMHDA301-20190429T151500,2019-04-29T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T151500.png
CAMHDA301-20190429T181500,2019-04-29T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T181500.png
CAMHDA301-20190429T211500,2019-04-29T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190429T211500.png
CAMHDA301-20190506T001500,2019-05-06T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T001500.png
CAMHDA301-20190506T031500,2019-05-06T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T031500.png
CAMHDA301-20190506T061500,2019-05-06T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T061500.png
CAMHDA301-20190506T091500,2019-05-06T09:15:00+00:00,Monday,091500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T091500.png
CAMHDA301-20190506T121500,2019-05-06T12:15:00+00:00,Monday,121500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T121500.png
CAMHDA301-20190506T151500,2019-05-06T15:15:00+00:00,Monday,151500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T151500.png
CAMHDA301-20190506T181500,2019-05-06T18:15:00+00:00,Monday,181500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T181500.png
CAMHDA301-20190506T211500,2019-05-06T21:15:00+00:00,Monday,211500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190506T211500.png
CAMHDA301-20190513T001500,2019-05-13T00:15:00+00:00,Monday,001500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T001500.png
CAMHDA301-20190513T031500,2019-05-13T03:15:00+00:00,Monday,031500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T031500.png
CAMHDA301-20190513T061500,2019-05-13T06:15:00+00:00,Monday,061500,True,scene_sorting/2019_2020/contact_sheets/CAMHDA301-20190513T061500.png
