stem,utc_datetime,weekday,slot,video_exists,sheet_path
CAMHDA301-20230206T211500,2023-02-06T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230206T211500.png
CAMHDA301-20230213T001500,2023-02-13T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T001500.png
CAMHDA301-20230213T031500,2023-02-13T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T031500.png
CAMHDA301-20230213T061500,2023-02-13T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T061500.png
CAMHDA301-20230213T091500,2023-02-13T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T091500.png
CAMHDA301-20230213T121500,2023-02-13T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T121500.png
CAMHDA301-20230213T151500,2023-02-13T15:15:00+00:00,Monday,151500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T151500.png
CAMHDA301-20230213T181500,2023-02-13T18:15:00+00:00,Monday,181500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T181500.png
CAMHDA301-20230213T211500,2023-02-13T21:15:00+00:00,Monday,211500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230213T211500.png
CAMHDA301-20230220T001500,2023-02-20T00:15:00+00:00,Monday,001500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T001500.png
CAMHDA301-20230220T031500,2023-02-20T03:15:00+00:00,Monday,031500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T031500.png
CAMHDA301-20230220T061500,2023-02-20T06:15:00+00:00,Monday,061500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T061500.png
CAMHDA301-20230220T091500,2023-02-20T09:15:00+00:00,Monday,091500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T091500.png
CAMHDA301-20230220T121500,2023-02-20T12:15:00+00:00,Monday,121500,True,/home/jovyan/scaleworm-student-lab/scene_sorting/full_2023_2024/contact_sheets/CAMHDA301-20230220T121500.png
