week_start,temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,_n,array_mean,array_max,array_p90
2022-10-10 00:00:00+00:00,4.0786963,2.9598677,3.6344228,2.6081777,2.693887,2.6300318,3.3096125,3.1007357,2.572269,2.5895936,2.5795436,3.111481,3.066023,3.1267276,2.6753771,3.191648,2.6238308,2.5151925,2.5530918,2.5240464,2.6353567,2.4899285,2.4678833,2.5630844,60480,2.8458545,4.0786963,3.274223
2022-10-17 00:00:00+00:00,4.064717,2.9415338,3.4533045,2.6675262,2.902387,2.7139106,3.3264813,3.0876577,2.6006167,2.5934181,2.5755558,3.1291,3.0255377,3.14101,2.7054253,3.0949144,2.6485713,2.5194538,2.5461056,2.5384963,2.6501884,2.5012941,2.4796762,2.541046,60432,2.8519971,4.064717,3.27084
2022-10-24 00:00:00+00:00,4.020497,2.98523,3.5154452,2.750331,3.0754635,2.6566753,3.2055821,2.9496415,2.5146542,2.5158606,2.5229328,3.0160186,3.0091684,2.9745152,2.567308,2.9938986,2.5363066,2.465901,2.4690275,2.4647818,2.5469935,2.4654212,2.4368196,2.469541,58719,2.7970006,4.020497,3.1665466
2022-10-31 00:00:00+00:00,4.114272,2.9102545,3.5370026,2.686194,2.9107358,2.776129,3.1960263,2.9516742,2.6126354,2.6497993,2.5682175,3.2863162,2.9650574,3.1106958,2.7444549,3.0953374,2.6932821,2.4934628,2.5740483,2.5282195,2.6022573,2.4764192,2.4531178,2.5102408,53743,2.8519104,4.114272,3.2592292
2022-11-07 00:00:00+00:00,4.412126,3.0580385,3.510463,2.5621166,2.7431734,2.6370747,3.2493596,3.0660443,2.5255036,2.5554216,2.5023336,3.3922126,3.1453881,3.082444,2.714884,3.2419891,2.752804,2.4646325,2.523558,2.484014,2.571184,2.4565504,2.433634,2.5111103,60480,2.8581693,4.412126,3.3493567
2022-11-14 00:00:00+00:00,3.6640236,3.003693,3.5288744,2.6644273,2.7558217,2.6568475,3.275654,3.0358047,2.5665982,2.638023,2.6093218,3.085823,3.0057611,2.9522607,2.7019405,3.0086746,2.6210806,2.536917,2.6051497,2.5381007,2.644138,2.5075321,2.4861023,2.5205352,60480,2.8172123,3.6640236,3.2187047
2022-11-21 00:00:00+00:00,3.9310164,3.1032944,3.7194698,2.629547,2.6866064,2.6038191,3.2371693,2.9833982,2.522634,2.581315,2.5742588,3.3193674,3.1288817,2.9634151,2.7078638,3.0816264,2.721457,2.5128305,2.552929,2.4987183,2.6038413,2.4966798,2.4626565,2.5233078,60481,2.839421,3.9310164,3.294708
2022-11-28 00:00:00+00:00,4.1213245,2.9906304,3.7767282,2.5971873,2.658747,2.5843368,3.2412367,3.0757277,2.5099776,2.571699,2.5543995,3.4115477,3.0694928,3.0027792,2.7118368,3.1449397,2.6970973,2.5006237,2.5684044,2.484112,2.6136367,2.477807,2.44147,2.4896607,42188,2.845642,4.1213245,3.3604543
2022-12-05 00:00:00+00:00,4.116678,3.1189175,3.462531,2.6047986,2.6728942,2.620722,3.267975,3.0737052,2.525052,2.5779734,2.5397732,3.1159532,3.1452115,2.9135783,2.6455188,3.0313191,2.612422,2.481803,2.5434809,2.4876845,2.5907338,2.4704149,2.4374669,2.4840572,60480,2.8141944,4.116678,3.231146
2022-12-12 00:00:00+00:00,3.8873153,3.1008606,3.2771068,2.5301013,2.627909,2.610626,3.274055,3.0305898,2.5041592,2.532232,2.4781053,3.011077,3.1404476,2.8332694,2.599194,2.9874918,2.5741751,2.4362817,2.5035093,2.4589794,2.5828047,2.4332068,2.4107428,2.4504771,60480,2.7614467,3.8873153,3.2339728
2022-12-19 00:00:00+00:00,3.4183886,3.1329696,3.3975968,2.570177,2.646668,2.6021872,3.092901,2.898222,2.5407224,2.55856,2.5255342,2.8887792,2.9960933,2.7979438,2.6055665,2.7648115,2.5429716,2.4727879,2.5281477,2.4885278,2.5995345,2.4590156,2.4347382,2.4587536,60480,2.7259,3.4183886,3.120949
2022-12-26 00:00:00+00:00,3.3453646,3.132999,3.555349,2.5127401,2.6184635,2.5319142,2.9447675,2.7951345,2.4576879,2.452295,2.4592752,2.8893173,3.0332348,2.7041478,2.5234187,2.7479362,2.480956,2.4279087,2.4399672,2.4243026,2.5021563,2.4165657,2.3877215,2.4066777,60191,2.6745958,3.555349,3.1030698
2023-01-02 00:00:00+00:00,3.82986,2.9296203,3.414029,2.5753493,2.7053137,2.5774748,3.137583,2.9793959,2.515398,2.5536456,2.481451,2.9371998,2.9478006,2.9995437,2.6387973,2.799194,2.5079112,2.4187014,2.505523,2.4575317,2.574308,2.4091284,2.3884041,2.4366755,60480,2.7383268,3.82986,3.0961711
2023-01-09 00:00:00+00:00,3.798847,2.849328,3.4408643,2.6108472,2.725839,2.5867355,3.1505697,2.9944193,2.529415,2.5925188,2.5220234,2.989859,2.840755,3.0381193,2.660553,2.7540255,2.520632,2.434947,2.5582209,2.4689078,2.5899475,2.4088368,2.394555,2.433791,49885,2.7456067,3.798847,3.1168346
2023-01-16 00:00:00+00:00,3.5153203,3.1653569,3.5269456,2.5513825,2.7072093,2.5731702,3.1728485,2.9921193,2.5122113,2.561451,2.5117831,3.0094275,3.0858123,2.9173079,2.6281228,2.8130207,2.522868,2.4582229,2.544169,2.472037,2.587234,2.4402957,2.420135,2.4543133,60480,2.7559483,3.5269456,3.170601
2023-01-23 00:00:00+00:00,3.1792896,3.333928,3.7934206,2.5585823,2.7084465,2.5709362,2.9147441,2.7161605,2.5166492,2.579026,2.535754,2.937017,3.1725743,2.7761765,2.610241,2.7056177,2.4922163,2.4728491,2.5551903,2.4761133,2.5215936,2.449025,2.4215667,2.429693,60480,2.7261174,3.7934206,3.177275
2023-01-30 00:00:00+00:00,3.2606783,3.3396566,3.8206227,2.5947332,2.6912699,2.5768993,3.0070035,2.824629,2.521599,2.562866,2.5489445,3.0406592,3.2799816,2.8336437,2.6416628,2.9116018,2.5511463,2.489222,2.5435889,2.4944599,2.5690491,2.4706454,2.4456365,2.5032744,60480,2.7718112,3.8206227,3.2741907
2023-02-06 00:00:00+00:00,3.1782327,3.6887631,3.7325058,2.5074651,2.6124394,2.538068,3.0218666,2.8623717,2.4763954,2.4912071,2.4861677,2.8963523,3.7091281,2.790653,2.5832288,3.0247118,2.4828935,2.4563627,2.4896252,2.4626603,2.5646024,2.4461658,2.423992,2.4673529,60443,2.766384,3.7325058,3.535604
2023-02-13 00:00:00+00:00,3.0994122,3.478799,3.6142614,2.5147972,2.5840464,2.541439,2.9915419,2.8426363,2.4845078,2.5096097,2.5127451,2.9782898,3.3478274,2.8242033,2.6273093,2.7891653,2.521539,2.472893,2.525105,2.471101,2.5940588,2.4577005,2.4274976,2.4576225,60480,2.736171,3.6142614,3.2733028
2023-02-20 00:00:00+00:00,2.966771,3.1571758,3.3018494,2.4818137,2.5553217,2.537845,3.0630789,2.8611085,2.4746602,2.4840708,2.486001,2.929804,3.1842859,2.80212,2.60871,2.735711,2.519524,2.4547427,2.4982598,2.457525,2.5822458,2.4442115,2.4178038,2.4308195,58410,2.6848106,3.3018494,3.1289468
