ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2022-W49,20221210T053000,8,0,227.6,288.5,289.2,117.20,40.32,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/10/CAMHDA301-20221210T053000.mp4
2022-W49,20221210T204500,8,0,77.0,100.7,119.7,72.22,28.20,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/10/CAMHDA301-20221210T204500.mp4
2022-W50,20221212T001500,8,0,542.5,772.3,879.5,87.18,56.36,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/12/CAMHDA301-20221212T001500.mp4
2022-W49,20221211T211500,8,0,450.7,803.1,970.2,88.30,54.52,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/11/CAMHDA301-20221211T211500.mp4
2022-W49,20221210T154500,8,0,196.7,247.3,262.2,103.74,58.84,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/10/CAMHDA301-20221210T154500.mp4
2022-W50,20221212T211500,8,0,351.4,698.1,738.3,87.04,48.75,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/12/CAMHDA301-20221212T211500.mp4
2022-W50,20221213T211500,8,0,443.0,683.6,937.6,87.15,53.77,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/13/CAMHDA301-20221213T211500.mp4
2022-W50,20221214T211500,8,0,420.5,704.2,733.9,85.75,52.46,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/14/CAMHDA301-20221214T211500.mp4
2022-W50,20221217T211500,8,0,654.6,971.6,1618.9,81.76,50.12,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/17/CAMHDA301-20221217T211500.mp4
2022-W50,20221215T211500,8,0,502.4,815.5,984.4,84.69,56.01,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/15/CAMHDA301-20221215T211500.mp4
2022-W50,20221218T211500,8,0,456.2,910.5,1558.9,84.32,51.57,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/18/CAMHDA301-20221218T211500.mp4
2022-W50,20221216T211500,8,0,611.2,940.5,1136.4,83.50,52.12,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/16/CAMHDA301-20221216T211500.mp4
2022-W51,20221220T133000,8,0,96.2,172.0,190.5,90.10,15.89,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/20/CAMHDA301-20221220T133000.mp4
2022-W51,20221219T001500,8,0,460.6,685.3,922.1,83.08,49.49,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/19/CAMHDA301-20221219T001500.mp4
2022-W51,20221220T081500,8,0,93.1,145.8,175.6,114.03,18.42,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/20/CAMHDA301-20221220T081500.mp4
2022-W51,20221220T031500,8,0,243.0,285.8,333.6,119.28,40.34,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/20/CAMHDA301-20221220T031500.mp4
2022-W51,20221220T234500,8,0,491.8,675.1,682.0,100.55,51.79,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/20/CAMHDA301-20221220T234500.mp4
2022-W51,20221220T183000,8,0,89.2,118.0,173.6,76.01,34.22,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/20/CAMHDA301-20221220T183000.mp4
2022-W51,20221223T061500,8,0,362.7,855.3,909.5,85.33,53.52,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/23/CAMHDA301-20221223T061500.mp4
2022-W52,20221226T001500,8,0,483.8,751.2,806.3,87.17,53.43,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/26/CAMHDA301-20221226T001500.mp4
2022-W51,20221225T211500,8,0,598.6,755.1,907.2,87.32,54.07,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2022/12/25/CAMHDA301-20221225T211500.mp4
2022-W52,20230101T034500,8,0,301.6,390.2,405.4,85.63,56.90,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/01/CAMHDA301-20230101T034500.mp4
2022-W52,20230101T084500,8,0,336.3,388.8,471.9,83.92,57.92,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2023/01/01/CAMHDA301-20230101T084500.mp4
