frame_id,date,model,ai_count,in_training
CAMHDA301-20220419T001500,2022-04-19,v2,6,False
CAMHDA301-20220419T031500,2022-04-19,v2,9,False
CAMHDA301-20220419T061500,2022-04-19,v2,7,False
CAMHDA301-20220419T151500,2022-04-19,v2,12,False
CAMHDA301-20220426T001500,2022-04-26,v2,12,False
CAMHDA301-20220426T091500,2022-04-26,v2,15,False
CAMHDA301-20220426T121500,2022-04-26,v2,14,False
CAMHDA301-20220426T211500,2022-04-26,v2,13,False
CAMHDA301-20220510T031500,2022-05-10,v2,9,False
CAMHDA301-20220517T031500,2022-05-17,v2,13,False
CAMHDA301-20220517T061500,2022-05-17,v2,7,False
CAMHDA301-20220517T091500,2022-05-17,v2,11,False
CAMHDA301-20220517T121500,2022-05-17,v2,20,False
CAMHDA301-20220517T151500,2022-05-17,v2,21,False
CAMHDA301-20220517T181500,2022-05-17,v2,14,False
CAMHDA301-20220517T211500,2022-05-17,v2,12,False
CAMHDA301-20220524T001500,2022-05-24,v2,10,False
CAMHDA301-20220524T031500,2022-05-24,v2,4,False
CAMHDA301-20220524T091500,2022-05-24,v2,11,False
CAMHDA301-20220524T121500,2022-05-24,v2,7,False
CAMHDA301-20220524T151500,2022-05-24,v2,9,False
CAMHDA301-20220524T181500,2022-05-24,v2,11,False
CAMHDA301-20220524T211500,2022-05-24,v2,7,False
CAMHDA301-20220531T001500,2022-05-31,v2,10,False
CAMHDA301-20220531T031500,2022-05-31,v2,9,False
CAMHDA301-20220531T061500,2022-05-31,v2,8,False
CAMHDA301-20220531T091500,2022-05-31,v2,8,False
CAMHDA301-20220531T121500,2022-05-31,v2,13,False
CAMHDA301-20220531T151500,2022-05-31,v2,11,False
CAMHDA301-20220531T181500,2022-05-31,v2,9,False
CAMHDA301-20220531T211500,2022-05-31,v2,7,False
CAMHDA301-20220607T001500,2022-06-07,v2,15,False
CAMHDA301-20220607T121500,2022-06-07,v2,4,False
CAMHDA301-20220607T151500,2022-06-07,v2,6,False
CAMHDA301-20220607T181500,2022-06-07,v2,14,False
CAMHDA301-20220614T001500,2022-06-14,v2,12,False
CAMHDA301-20220614T031500,2022-06-14,v2,11,False
CAMHDA301-20220614T061500,2022-06-14,v2,4,False
CAMHDA301-20220614T091500,2022-06-14,v2,8,False
CAMHDA301-20220614T121500,2022-06-14,v2,8,False
CAMHDA301-20220614T151500,2022-06-14,v2,6,False
CAMHDA301-20220621T001500,2022-06-21,v2,7,False
CAMHDA301-20220621T061500,2022-06-21,v2,8,False
CAMHDA301-20220621T091500,2022-06-21,v2,13,False
CAMHDA301-20220621T121500,2022-06-21,v2,12,False
CAMHDA301-20220621T181500,2022-06-21,v2,15,False
CAMHDA301-20220621T211500,2022-06-21,v2,22,False
CAMHDA301-20220628T001500,2022-06-28,v2,13,False
CAMHDA301-20220628T031500,2022-06-28,v2,11,False
CAMHDA301-20220628T121500,2022-06-28,v2,12,False
CAMHDA301-20220628T151500,2022-06-28,v2,8,False
CAMHDA301-20220628T181500,2022-06-28,v2,12,False
CAMHDA301-20220628T211500,2022-06-28,v2,15,False
CAMHDA301-20220705T031500,2022-07-05,v2,5,False
CAMHDA301-20220705T061500,2022-07-05,v2,7,False
CAMHDA301-20220705T091500,2022-07-05,v2,5,False
CAMHDA301-20220705T121500,2022-07-05,v2,8,False
CAMHDA301-20220705T151500,2022-07-05,v2,13,False
CAMHDA301-20220705T181500,2022-07-05,v2,12,False
CAMHDA301-20220705T211500,2022-07-05,v2,9,False
CAMHDA301-20220712T001500,2022-07-12,v2,8,False
CAMHDA301-20220712T031500,2022-07-12,v2,11,False
CAMHDA301-20220712T061500,2022-07-12,v2,6,False
CAMHDA301-20220712T091500,2022-07-12,v2,9,False
CAMHDA301-20220712T121500,2022-07-12,v2,4,False
CAMHDA301-20220712T151500,2022-07-12,v2,11,False
CAMHDA301-20220712T181500,2022-07-12,v2,8,False
CAMHDA301-20220712T211500,2022-07-12,v2,10,False
CAMHDA301-20220719T001500,2022-07-19,v2,5,False
CAMHDA301-20220719T031500,2022-07-19,v2,5,False
CAMHDA301-20220719T061500,2022-07-19,v2,10,False
CAMHDA301-20220719T091500,2022-07-19,v2,9,False
CAMHDA301-20220719T121500,2022-07-19,v2,8,False
CAMHDA301-20220719T181500,2022-07-19,v2,11,False
CAMHDA301-20220719T211500,2022-07-19,v2,4,False
CAMHDA301-20220726T001500,2022-07-26,v2,6,False
CAMHDA301-20220726T061500,2022-07-26,v2,1,False
CAMHDA301-20220726T091500,2022-07-26,v2,4,False
CAMHDA301-20220726T121500,2022-07-26,v2,9,False
CAMHDA301-20220726T151500,2022-07-26,v2,8,False
CAMHDA301-20220726T181500,2022-07-26,v2,6,False
CAMHDA301-20220726T211500,2022-07-26,v2,6,False
CAMHDA301-20220802T091500,2022-08-02,v2,1,False
CAMHDA301-20220809T001500,2022-08-09,v2,8,False
CAMHDA301-20220809T031500,2022-08-09,v2,4,False
CAMHDA301-20220809T061500,2022-08-09,v2,9,False
CAMHDA301-20220809T121500,2022-08-09,v2,13,False
CAMHDA301-20220809T151500,2022-08-09,v2,10,False
CAMHDA301-20220809T181500,2022-08-09,v2,10,False
CAMHDA301-20220809T211500,2022-08-09,v2,13,False
CAMHDA301-20220816T001500,2022-08-16,v2,10,False
CAMHDA301-20220816T031500,2022-08-16,v2,13,False
CAMHDA301-20220816T061500,2022-08-16,v2,11,False
CAMHDA301-20220816T091500,2022-08-16,v2,7,False
CAMHDA301-20220816T121500,2022-08-16,v2,7,False
CAMHDA301-20220816T151500,2022-08-16,v2,12,False
CAMHDA301-20220816T181500,2022-08-16,v2,8,False
CAMHDA301-20220816T211500,2022-08-16,v2,8,False
CAMHDA301-20220823T001500,2022-08-23,v2,7,False
CAMHDA301-20220823T061500,2022-08-23,v2,7,False
CAMHDA301-20220823T091500,2022-08-23,v2,9,False
CAMHDA301-20220823T121500,2022-08-23,v2,10,False
CAMHDA301-20220823T151500,2022-08-23,v2,15,False
CAMHDA301-20220823T211500,2022-08-23,v2,10,False
CAMHDA301-20220830T001500,2022-08-30,v2,9,False
CAMHDA301-20220906T001500,2022-09-06,v2,8,False
CAMHDA301-20220906T031500,2022-09-06,v2,6,False
CAMHDA301-20220906T061500,2022-09-06,v2,8,False
CAMHDA301-20220906T091500,2022-09-06,v2,16,False
CAMHDA301-20220906T121500,2022-09-06,v2,11,False
CAMHDA301-20220906T151500,2022-09-06,v2,15,False
CAMHDA301-20220906T181500,2022-09-06,v2,11,False
CAMHDA301-20220906T211500,2022-09-06,v2,8,False
CAMHDA301-20220913T031500,2022-09-13,v2,14,False
CAMHDA301-20220913T091500,2022-09-13,v2,4,False
CAMHDA301-20220913T121500,2022-09-13,v2,6,False
CAMHDA301-20220913T181500,2022-09-13,v2,11,False
CAMHDA301-20220913T211500,2022-09-13,v2,5,False
CAMHDA301-20220920T031500,2022-09-20,v2,1,False
CAMHDA301-20220927T001500,2022-09-27,v2,10,False
CAMHDA301-20220927T031500,2022-09-27,v2,17,False
CAMHDA301-20220927T061500,2022-09-27,v2,10,False
CAMHDA301-20220927T091500,2022-09-27,v2,11,False
CAMHDA301-20220927T121500,2022-09-27,v2,9,False
CAMHDA301-20220927T151500,2022-09-27,v2,18,False
CAMHDA301-20220927T181500,2022-09-27,v2,4,False
CAMHDA301-20220927T211500,2022-09-27,v2,8,False
