ym,ts,n_frames,n_black,sharp_median,sharp_p90,sharp_max,brightness,contrast,note,path
2025-05,20250524T001500,8,0,226.4,327.1,418.1,80.92,40.31,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/24/CAMHDA301-20250524T001500.mp4
2025-06,20250601T161500,8,0,105.5,164.0,201.0,80.76,45.30,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/01/CAMHDA301-20250601T161500.mp4
2025-05,20250531T211500,8,0,142.4,215.9,230.3,79.31,39.03,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/05/31/CAMHDA301-20250531T211500.mp4
2025-06,20250602T073000,8,0,143.3,217.2,220.5,115.34,41.49,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/02/CAMHDA301-20250602T073000.mp4
2025-06,20250601T010000,8,0,253.7,314.0,314.6,74.73,43.94,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/01/CAMHDA301-20250601T010000.mp4
2025-06,20250602T230000,8,0,159.8,178.9,189.7,124.56,39.55,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/02/CAMHDA301-20250602T230000.mp4
2025-06,20250603T141500,8,0,170.1,195.4,202.3,104.57,35.84,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/03/CAMHDA301-20250603T141500.mp4
2025-06,20250606T181500,8,0,160.9,449.5,592.5,80.04,38.31,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/06/CAMHDA301-20250606T181500.mp4
2025-06,20250610T090000,8,0,113.0,130.8,154.8,100.31,49.35,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/10/CAMHDA301-20250610T090000.mp4
2025-06,20250618T181500,8,0,143.3,277.9,404.5,79.27,40.67,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/18/CAMHDA301-20250618T181500.mp4
2025-06,20250611T031500,8,0,157.9,361.3,373.7,79.35,40.18,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/11/CAMHDA301-20250611T031500.mp4
2025-06,20250620T131500,8,0,46.4,57.9,67.8,59.67,17.29,,/home/jovyan/ooi/san_data/RS03ASHS-PN03B-06-CAMHDA301/2025/06/20/CAMHDA301-20250620T131500.mp4
